Time,Intensity,ADC_Value
34.34140396118164,46,480
34.43753218650818,46,480
34.53381633758545,46,480
34.629507541656494,47,483
34.741426944732666,47,483
34.83766293525696,47,483
34.93345880508423,47,483
35.02938771247864,46,479
35.12543344497681,46,479
35.237183809280396,46,479
35.33347225189209,46,480
35.42881369590759,46,480
35.52594757080078,47,483
35.63705277442932,47,483
35.73296523094177,47,483
35.828940629959106,47,483
35.925257444381714,47,483
36.021193742752075,46,479
36.132604360580444,46,480
36.22823524475098,46,479
36.32430410385132,46,480
36.42078161239624,46,480
36.53294134140015,47,483
36.62816667556763,47,483
36.72471570968628,47,483
36.82094931602478,47,484
36.916836977005005,46,477
37.02843928337097,46,479
37.12440896034241,46,480
37.2199547290802,46,480
37.31690859794617,48,497
37.42808485031128,48,496
37.52358794212341,48,493
37.61995768547058,48,492
37.71555018424988,48,492
37.81211519241333,47,489
37.92370939254761,47,481
38.020254135131836,42,436
38.11586785316467,33,347
38.21183395385742,31,322
38.30792856216431,27,286
38.420196533203125,23,244
38.516149282455444,18,187
38.61160111427307,14,145
38.707735538482666,11,119
38.81904220581055,8,92
38.91237211227417,8,84
39.01127243041992,8,82
39.103232860565186,8,84
39.20343017578125,8,84
39.312122106552124,8,84
39.41181182861328,8,85
39.50417613983154,9,93
39.59657526016235,11,119
39.712687253952026,14,145
39.80509352684021,21,216
39.905356645584106,29,298
40.00354528427124,31,325
40.09915637969971,37,379
40.2119038105011,41,423
40.30709171295166,48,497
40.40385365486145,53,547
40.499011278152466,59,609
40.60810732841492,66,681
40.703755140304565,70,725
40.80318808555603,76,781
40.89869403839111,81,833
40.99513530731201,90,921
41.106781244277954,94,965
41.2027542591095,98,1009
41.2987015247345,100,1023
41.39486503601074,100,1023
41.506402254104614,100,1023
41.602885484695435,100,1023
41.6988742351532,100,1023
41.79483652114868,100,1023
41.890822887420654,100,1023
42.00309896469116,100,1023
42.09870791435242,100,1023
42.19404435157776,100,1023
42.290334701538086,100,1023
42.386610984802246,100,1023
42.49839520454407,100,1023
42.594441175460815,100,1023
42.68999719619751,100,1023
42.78591465950012,100,1023
42.897608041763306,100,1023
42.99430465698242,100,1023
43.08964657783508,100,1023
43.18623399734497,100,1023
43.28257632255554,100,1023
43.39388179779053,100,1023
43.49014496803284,100,1023
43.585712909698486,100,1023
43.68130707740784,100,1023
43.793773889541626,100,1023
43.88942193984985,100,1023
43.985793590545654,100,1023
44.08135724067688,100,1023
44.176942348480225,100,1023
44.289560317993164,97,997
44.38499712944031,92,949
44.48141407966614,91,933
44.5773811340332,89,917
44.688772439956665,88,909
44.785276651382446,87,900
44.881593465805054,86,881
44.97753930091858,82,845
45.07323503494263,82,845
45.18559408187866,81,829
45.28111267089844,78,801
45.37729096412659,73,749
45.472594261169434,72,737
45.585328817367554,68,703
45.68098545074463,66,677
45.776774406433105,61,633
45.87288236618042,58,599
45.96914982795715,56,575
46.08021354675293,54,559
46.177085161209106,53,543
46.27301549911499,52,535
46.36896872520447,49,508
46.464765548706055,48,493
46.57652282714844,46,473
46.67279529571533,44,460
46.7684907913208,42,433
46.864402294158936,39,405
46.97636079788208,38,389
47.07278919219971,38,393
47.16796946525574,38,393
47.26420450210571,38,393
47.3601393699646,38,393
47.47187781333923,38,391
47.56821155548096,38,391
47.663530349731445,38,389
47.76011538505554,38,389
47.87144613265991,38,391
47.96817588806152,38,391
48.06349420547485,38,393
48.159812927246094,38,393
48.256109952926636,38,393
48.3682599067688,38,392
48.46338939666748,38,391
48.559993743896484,38,391
48.655675649642944,38,389
48.76806831359863,38,389
48.86356067657471,38,389
48.95983934402466,38,393
49.055787563323975,38,393
49.15149784088135,38,393
49.26287221908569,38,393
49.35934376716614,38,391
49.45566487312317,38,391
49.55162739753723,38,391
49.66327500343323,38,391
49.75922656059265,38,391
49.85554766654968,38,391
49.95135426521301,38,393
50.04713034629822,38,393
50.15968108177185,38,393
50.25485396385193,38,393
50.351012229919434,38,391
50.44647145271301,38,391
50.55896759033203,38,391
50.65469694137573,38,391
50.7512104511261,38,391
50.846840143203735,38,391
50.94311881065369,38,393
51.05512189865112,38,393
51.15073609352112,38,393
51.24674963951111,38,391
51.34303307533264,38,391
51.438578367233276,38,391
51.550883769989014,38,391
51.64648127555847,38,391
51.74226641654968,38,391
51.83855748176575,38,395
51.95160961151123,38,393
52.045958280563354,38,393
52.142667055130005,38,393
52.23830699920654,38,391
52.33384990692139,38,391
52.445821046829224,38,391
52.54209494590759,38,391
52.637638092041016,38,391
52.733561754226685,38,391
52.846091747283936,38,393
52.94163942337036,38,393
53.03795266151428,38,393
53.13391327857971,38,393
53.22951102256775,38,391
53.3415162563324,38,391
53.438119888305664,38,391
53.53349685668945,38,391
53.629828453063965,38,391
53.725844860076904,38,391
53.83767342567444,38,393
53.93321657180786,38,393
54.02984833717346,38,393
54.1256058216095,38,389
54.23774075508118,38,391
54.33305811882019,38,391
54.42959451675415,38,391
54.525689125061035,38,391
54.62164354324341,38,391
54.7336368560791,38,393
54.82919144630432,38,393
54.925506830215454,38,393
55.02144765853882,38,393
55.133527994155884,38,391
55.228431224823,38,391
55.32472109794617,38,391
55.42126798629761,38,391
55.51731848716736,38,391
55.62849020957947,38,391
55.72427988052368,38,393
55.820924520492554,38,393
55.916765451431274,38,393
56.02859926223755,38,393
56.12502694129944,38,391
56.22096061706543,38,391
56.31694984436035,38,391
56.4125337600708,38,391
56.5245144367218,38,391
56.62098693847656,38,391
56.71627950668335,38,393
56.81230640411377,38,393
56.92472577095032,38,393
57.01796007156372,38,389
57.11508107185364,38,391
57.21125030517578,38,391
57.30209517478943,38,391
57.41490840911865,38,391
57.513017892837524,38,391
57.61054563522339,38,393
57.70722985267639,38,393
57.802523374557495,38,393
57.908421993255615,38,393
58.0094838142395,38,391
58.10385465621948,38,391
58.204227685928345,38,391
58.31657147407532,38,391
58.4125440120697,38,391
58.50474572181702,38,391
58.60400152206421,38,393
58.699650049209595,38,393
58.81196427345276,38,393
58.90444993972778,38,393
59.00405287742615,38,391
59.09951162338257,38,391
59.20475721359253,38,391
59.304059982299805,38,391
59.403815507888794,38,391
59.49653887748718,38,391
59.59547781944275,38,393
59.70436644554138,38,393
59.80128192901611,38,393
59.89913749694824,38,389
59.99596810340881,38,391
60.105029821395874,38,391
